"Mês/ano";"RO";"PA";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"GO";"DF";"IG";"Total"
"1997/Jan";-;178;212;-;166;310;-;-;4606;-;-;842;-;19;440;-;-;-;8;-;6781
"1997/Fev";-;160;90;-;172;380;523;-;2216;-;-;1167;-;4;484;-;-;-;2;-;5198
"1997/Mar";-;106;281;-;179;229;633;-;3334;-;-;1077;-;10;304;-;-;-;25;-;6178
"1997/Abr";-;251;283;3;260;340;1106;-;3383;-;-;1884;134;14;449;-;-;-;36;-;8143
"1997/Mai";-;152;482;-;168;392;695;-;5099;-;-;1544;322;21;698;-;-;-;23;-;9596
"1997/Jun";-;220;802;-;309;45;439;-;4363;-;-;2829;588;-;936;2;-;-;15;-;10548
"1997/Jul";-;116;556;1;355;7;1441;-;5096;-;-;1607;131;-;902;1;-;-;42;-;10255
"1997/Ago";-;158;93;-;233;-;1538;-;4469;-;12;1376;37;-;505;-;-;-;15;-;8436
"1997/Set";-;98;159;1;154;81;988;-;2865;2203;146;1548;463;-;658;-;-;-;4;-;9368
"1997/Out";-;172;113;-;119;346;942;-;3092;1213;90;1978;96;-;671;2;-;-;9;-;8843
"1997/Nov";-;70;69;-;236;348;456;-;3277;1368;40;2717;312;-;656;3;-;-;17;-;9569
"1997/Dez";-;35;4;-;174;156;1558;-;3058;1177;26;1592;378;-;1042;-;-;-;20;-;9220
"1998/Jan";-;40;227;-;373;127;-;-;2519;-;-;1453;-;-;773;-;-;-;5;-;5517
"1998/Fev";-;75;246;-;65;133;1486;-;2471;81;-;2151;-;-;816;2;-;6;19;-;7551
"1998/Mar";-;70;631;1;146;126;1116;-;2601;354;-;2761;-;-;351;2;-;18;19;-;8196
"1998/Abr";-;55;372;1;107;564;845;-;3624;34;-;3050;156;-;594;3;-;27;29;-;9461
"1998/Mai";-;122;359;1;254;351;863;-;4915;148;137;2538;554;-;264;-;-;24;7;-;10537
"1998/Jun";-;114;339;1;132;382;940;-;4243;280;110;2219;299;-;403;1;-;8;24;-;9495
"1998/Jul";-;102;454;1;211;289;1343;-;5450;151;27;1761;283;-;568;33;-;29;6;-;10708
"1998/Ago";-;149;373;-;282;322;317;-;3178;258;106;1977;168;-;291;36;-;13;10;-;7480
"1998/Set";-;93;1223;-;155;107;317;-;2823;519;40;1072;567;-;360;60;-;13;6;-;7355
"1998/Out";-;31;604;-;308;9;1004;-;2496;587;6;1094;366;-;133;17;-;9;7;-;6671
"1998/Nov";-;36;234;-;253;480;409;-;3245;585;5;1635;67;-;196;46;-;16;8;-;7215
"1998/Dez";-;10;10;-;296;143;348;-;2348;401;-;936;7;-;492;10;-;5;9;-;5015
"1999/Jan";-;70;118;-;7;60;-;-;1527;863;155;1006;-;-;228;21;-;-;9;-;4064
"1999/Fev";-;46;92;-;90;78;38;-;1525;640;170;2160;261;-;238;120;-;4;4;-;5466
"1999/Mar";-;64;135;-;90;235;826;-;2611;1420;133;2265;331;-;371;143;-;2;9;-;8635
"1999/Abr";-;61;301;-;76;52;1025;-;2515;296;259;2388;353;-;660;38;-;2;4;-;8030
"1999/Mai";-;111;484;-;116;293;426;-;3916;918;592;3130;411;-;1037;70;-;4;15;-;11523
"1999/Jun";-;28;453;-;162;344;477;-;3570;506;350;1988;320;-;151;17;-;-;19;-;8385
"1999/Jul";-;28;291;-;133;430;1832;-;5717;2227;129;2154;214;-;201;43;-;-;22;-;13421
"1999/Ago";-;7;993;-;222;82;1762;-;4171;918;384;2371;435;-;220;97;-;-;33;-;11695
"1999/Set";-;6;543;-;87;303;1907;-;3559;1086;612;2491;495;-;119;28;-;-;10;-;11246
"1999/Out";-;-;620;-;130;128;480;-;2680;981;362;2128;170;-;114;16;-;-;18;-;7827
"1999/Nov";-;-;456;-;246;122;412;-;1974;1244;136;1496;33;-;42;42;-;-;8;-;6211
"1999/Dez";-;-;116;-;359;108;417;-;1391;680;386;743;23;-;347;11;-;-;16;-;4597
"2000/Jan";15;23;233;-;15;689;-;-;1512;293;203;1516;35;-;101;1;-;-;-;-;4636
"2000/Fev";21;108;318;-;99;317;375;-;2658;607;198;1751;109;-;100;69;-;-;12;-;6742
"2000/Mar";17;35;314;-;130;234;381;-;2165;1082;240;2493;23;-;34;6;-;-;6;-;7160
"2000/Abr";30;97;567;-;136;678;413;-;2090;741;149;1793;15;-;152;1;-;-;3;-;6865
"2000/Mai";19;18;735;-;89;841;274;-;2717;1231;160;2221;45;-;81;-;-;-;18;-;8449
"2000/Jun";45;37;602;-;43;153;440;-;1929;188;19;1687;13;-;156;2;-;-;5;-;5319
"2000/Jul";27;119;562;-;179;-;749;-;1790;630;62;1754;15;-;140;-;-;-;8;-;6035
"2000/Ago";36;93;381;-;92;221;1172;-;801;445;54;1763;89;-;47;-;2;-;14;-;5210
"2000/Set";28;100;841;-;65;26;1529;-;757;253;18;1418;54;-;65;-;-;-;9;-;5163
"2000/Out";25;52;482;-;286;102;1005;-;738;325;2;1363;20;-;58;-;-;-;15;-;4473
"2000/Nov";27;42;960;-;115;89;310;-;68;112;122;1250;-;-;71;-;-;-;3;-;3169
"2000/Dez";22;10;420;-;48;3;606;-;5;331;1010;515;-;-;253;-;-;-;11;-;3234
"2001/Jan";23;42;174;-;52;-;-;-;244;306;528;528;68;-;16;-;-;-;5;-;1986
"2001/Fev";22;36;86;-;62;-;190;-;44;245;186;828;38;-;9;-;-;-;9;-;1755
"2001/Mar";45;34;89;-;88;-;309;1;145;426;896;1353;163;-;64;-;-;-;13;-;3626
"2001/Abr";28;20;338;-;49;-;137;-;253;308;1026;1448;168;-;7;-;-;-;2;-;3784
"2001/Mai";41;42;280;-;190;-;83;162;555;344;2402;2714;81;-;56;-;-;-;5;-;6955
